1;Hansen;53519;
2;Johansen;50409;
3;Olsen;49784;
4;Larsen;38128;
5;Andersen;37206;
6;Pedersen;35402;
7;Nilsen;34941;
8;Kristiansen;23595;
9;Jensen;23079;
10;Karlsen;21330;
11;Johnsen;20755;
12;Pettersen;20226;
13;Eriksen;19241;
14;Berg;18133;
15;Haugen;14392;
16;Hagen;14126;
17;Johannessen;13387;
18;Andreassen;12139;
19;Jacobsen;11925;
20;Dahl;11540;
21;Jørgensen;11481;
22;Halvorsen;11477;
23;Henriksen;11364;
24;Lund;11282;
25;Sørensen;10770;
26;Jakobsen;10641;
27;Moen;10319;
28;Gundersen;10319;
29;Iversen;10073;
30;Svendsen;9876;
31;Strand;9848;
32;Solberg;9721;
33;Martinsen;8562;
34;Paulsen;8500;
35;Knutsen;8495;
36;Eide;8380;
37;Bakken;7907;
38;Kristoffersen;7826;
39;Mathisen;7629;
40;Lie;7452;
41;Rasmussen;7232;
42;Amundsen;7225;
43;Lunde;6967;
44;Kristensen;6935;
45;Bakke;6882;
46;Berge;6880;
47;Moe;6870;
48;Nygård;6824;
49;Fredriksen;6821;
50;Solheim;6791;
51;Nguyen;6680;
52;Holm;6532;
53;Lien;6526;
54;Andresen;6409;
55;Christensen;6363;
56;Hauge;6321;
57;Knudsen;6299;
58;Nielsen;6193;
59;Evensen;6026;
60;Sæther;5928;
61;Aas;5914;
62;Hanssen;5866;
63;Myhre;5822;
64;Haugland;5704;
65;Thomassen;5668;
66;Simonsen;5630;
67;Sivertsen;5623;
68;Berntsen;5568;
69;Ali;5561;
70;Danielsen;5456;
71;Rønning;5303;
72;Arnesen;5284;
73;Sandvik;5244;
74;Næss;5223;
75;Antonsen;5120;
76;Haug;5092;
77;Vik;4976;
78;Ellingsen;4970;
79;Edvardsen;4917;
80;Thorsen;4913;
81;Ahmed;4805;
82;Gulbrandsen;4790;
83;Birkeland;4736;
84;Isaksen;4724;
85;Ruud;4664;
86;Strøm;4476;
87;Aasen;4450;
88;Ødegård;4426;
89;Tangen;4356;
90;Jenssen;4349;
91;Myklebust;4335;
92;Eliassen;4333;
93;Mikkelsen;4275;
94;Bøe;4263;
95;Aune;4246;
96;Helland;4164;
97;Tveit;3985;
98;Brekke;3978;
99;Abrahamsen;3935;
100;Engen;3826;
101;Madsen;3819;
102;Christiansen;3817;
103;Sunde;3673;
104;Mortensen;3627;
105;Torgersen;3589;
106;Thoresen;3585;
107;Bjerke;3585;
108;Hermansen;3521;
109;Mikalsen;3503;
110;Magnussen;3472;
111;Nilssen;3453;
112;Gjerde;3434;
113;Helgesen;3432;
114;Hovland;3417;
115;Bråthen;3393;
116;Wold;3383;
117;Dahle;3325;
118;Dale;3311;
119;Eilertsen;3308;
120;Nygaard;3289;
121;Steen;3165;
122;Wilhelmsen;3159;
123;Foss;3159;
124;Jansen;3153;
125;Gabrielsen;3098;
126;Bjørnstad;3095;
127;Håland;3057;
128;Hammer;3056;
129;Sætre;3050;
130;Gustavsen;3007;
